date,open,high,low,close,volume,market_cap
2018-01-02T23:12:32.000000Z,13842.0,29997.0,13842.0,17402.0,151371.0,
2018-01-03T00:02:41.000000Z,17403.0,18446.0,17000.0,17887.0,7631506.0,
2018-01-03T02:01:30.000000Z,17684.0,18180.0,17250.0,17858.0,5361260.0,
2018-01-03T04:01:45.000000Z,17784.5,18055.0,17784.5,18000.0,605126.0,
2018-01-03T06:05:16.000000Z,17951.0,18248.0,17824.0,17867.5,975299.0,
2018-01-03T08:01:06.000000Z,17876.0,17876.0,17198.0,17250.5,1060054.0,
2018-01-03T10:04:08.000000Z,17250.5,17262.0,16800.0,17200.0,8217693.0,
2018-01-03T12:00:52.000000Z,17195.0,17200.0,16895.0,17083.0,551466.0,
2018-01-03T14:04:11.000000Z,17086.5,17496.0,17074.0,17394.0,5605515.0,
2018-01-03T16:00:47.000000Z,17395.0,17633.0,17047.5,17120.0,7658118.0,
2018-01-03T18:00:32.000000Z,17151.0,17268.0,16961.5,17100.0,398818.0,
2018-01-03T20:00:48.000000Z,17149.5,17405.0,17100.0,17400.0,2168192.0,
2018-01-03T22:02:38.000000Z,17400.0,17500.0,17063.5,17460.0,2761449.0,
2018-01-04T00:04:55.000000Z,17560.0,17863.0,17274.0,17783.5,1417312.0,
2018-01-04T02:04:38.000000Z,17836.0,17836.0,17521.0,17521.0,128231.0,
2018-01-04T04:00:05.000000Z,17521.0,17521.0,17230.0,17368.5,558884.0,
2018-01-04T06:06:09.000000Z,17440.0,17561.5,17242.0,17244.5,165028.0,
2018-01-04T08:01:52.000000Z,17310.5,17350.5,16307.0,16700.0,13816014.0,
2018-01-04T10:00:36.000000Z,16700.0,16747.5,16450.0,16698.0,392623.0,
2018-01-04T12:00:22.000000Z,16717.0,16764.0,16400.0,16729.0,2668897.0,
2018-01-04T14:02:26.000000Z,16729.0,16829.5,16666.0,16711.0,538626.0,
2018-01-04T16:00:02.000000Z,16717.0,16927.0,16636.0,16918.0,479535.0,
2018-01-04T18:00:48.000000Z,16915.0,17020.0,16880.5,17020.0,585113.0,
2018-01-04T20:02:49.000000Z,17061.0,17120.0,16880.5,17001.0,229208.0,
2018-01-04T22:22:47.000000Z,16904.5,17284.0,16904.5,17255.5,294451.0,
2018-01-05T00:03:23.000000Z,17227.5,17227.5,16953.5,17117.5,152750.0,
2018-01-05T02:06:52.000000Z,17140.0,17326.5,17007.0,17117.5,108339.0,
2018-01-05T04:02:07.000000Z,17117.5,17119.5,16669.0,16941.5,708345.0,
2018-01-05T06:13:53.000000Z,16980.5,17019.0,16800.5,16986.0,195650.0,
2018-01-05T08:04:21.000000Z,16989.0,18559.0,16989.0,18315.0,2109834.0,
2018-01-05T10:02:07.000000Z,18256.0,18901.5,18215.5,18599.5,4148235.0,
2018-01-05T12:01:10.000000Z,18663.5,18663.5,18311.0,18562.5,3711131.0,
2018-01-05T14:00:11.000000Z,18562.5,18580.0,18413.0,18498.0,331475.0,
2018-01-05T16:00:34.000000Z,18498.0,19250.0,18479.0,19065.5,1252691.0,
2018-01-05T18:02:37.000000Z,19137.5,19269.0,18841.0,19091.5,347320.0,
2018-01-05T20:01:24.000000Z,19085.5,19497.5,18953.0,19188.5,516885.0,
2018-01-05T22:04:06.000000Z,19168.5,19632.0,19149.5,19448.0,332111.0,
2018-01-06T00:02:19.000000Z,19443.0,19479.5,19120.0,19396.5,218207.0,
2018-01-06T02:03:06.000000Z,19400.0,19447.0,18906.0,18923.5,3461159.0,
